,state,District,Transaction_amount
0,arunachal-pradesh,dibang valley district,169.889
1,manipur,pherzawl district,778.09
2,manipur,pherzawl district,1036.35
3,arunachal-pradesh,anjaw district,7871.02
4,arunachal-pradesh,kamle district,7971.33
5,arunachal-pradesh,pakke kessang district,9131.4
6,jammu-&-kashmir,muzaffarabad district,14559.8
7,arunachal-pradesh,kamle district,23654.1
8,arunachal-pradesh,shi yomi district,30367.8
9,arunachal-pradesh,kamle district,30504.9
