,State,Year,Quater,District,Transaction_count,Transaction_amount
75,andaman-&-nicobar-islands,2019,4,744202.0,1783,5800016.5561128855
76,andaman-&-nicobar-islands,2019,4,744211.0,1596,7908264.721918669
77,andaman-&-nicobar-islands,2019,4,744301.0,1549,7056478.928838715
78,andaman-&-nicobar-islands,2019,4,744201.0,886,946768.0636478986
79,andaman-&-nicobar-islands,2019,4,744107.0,777,3030368.911900454
80,andaman-&-nicobar-islands,2020,1,744101.0,11793,58229349.02415232
81,andaman-&-nicobar-islands,2020,1,744103.0,5870,22009443.07305397
82,andaman-&-nicobar-islands,2020,1,744105.0,4635,16774043.311987936
83,andaman-&-nicobar-islands,2020,1,744102.0,3820,14517706.12269676
84,andaman-&-nicobar-islands,2020,1,744211.0,1837,8425387.79004211
85,andaman-&-nicobar-islands,2020,1,744301.0,1819,6901162.107519586
86,andaman-&-nicobar-islands,2020,1,744202.0,1794,5037742.395579022
87,andaman-&-nicobar-islands,2020,1,744104.0,1302,5293130.290633954
88,andaman-&-nicobar-islands,2020,1,744201.0,1157,1242638.821252932
89,andaman-&-nicobar-islands,2020,1,744107.0,1043,2990354.4448547475
90,andaman-&-nicobar-islands,2020,2,744101.0,11868,48293323.21851964
91,andaman-&-nicobar-islands,2020,2,744103.0,10035,26197535.98945152
92,andaman-&-nicobar-islands,2020,2,744105.0,9341,23203019.858980607
93,andaman-&-nicobar-islands,2020,2,744102.0,6012,17786750.907515876
94,andaman-&-nicobar-islands,2020,2,744202.0,3722,8924121.010762567
95,andaman-&-nicobar-islands,2020,2,744107.0,2555,3980470.685369815
96,andaman-&-nicobar-islands,2020,2,744301.0,2275,9055232.527755566
97,andaman-&-nicobar-islands,2020,2,744211.0,2045,3319717.6328789736
98,andaman-&-nicobar-islands,2020,2,744205.0,1847,4459064.90732021
99,andaman-&-nicobar-islands,2020,2,744104.0,1840,3334591.822304932
100,andaman-&-nicobar-islands,2020,3,744101.0,24386,100439119.66860785
101,andaman-&-nicobar-islands,2020,3,744103.0,21272,60332278.69396809
102,andaman-&-nicobar-islands,2020,3,744105.0,17166,44061506.56273589
103,andaman-&-nicobar-islands,2020,3,744102.0,13934,43077189.842844136
104,andaman-&-nicobar-islands,2020,3,744202.0,5779,11975748.707876924
105,andaman-&-nicobar-islands,2020,3,744107.0,4753,7628018.669464628
106,andaman-&-nicobar-islands,2020,3,744104.0,3468,7353834.51320935
107,andaman-&-nicobar-islands,2020,3,744112.0,3422,6067986.696111794
108,andaman-&-nicobar-islands,2020,3,744301.0,3071,13352610.531559702
109,andaman-&-nicobar-islands,2020,3,744205.0,2991,7535645.788593667
110,andaman-&-nicobar-islands,2020,4,744103.0,46884,138264791.5489212
111,andaman-&-nicobar-islands,2020,4,744101.0,40392,136401368.02166596
112,andaman-&-nicobar-islands,2020,4,744105.0,34410,87838226.93633425
113,andaman-&-nicobar-islands,2020,4,744102.0,26694,76348598.32238364
114,andaman-&-nicobar-islands,2020,4,744202.0,10949,25543799.074759968
115,andaman-&-nicobar-islands,2020,4,744107.0,9743,18083250.19055397
116,andaman-&-nicobar-islands,2020,4,744104.0,7654,19126095.533284884
117,andaman-&-nicobar-islands,2020,4,744112.0,7016,15890275.050448488
118,andaman-&-nicobar-islands,2020,4,744205.0,5118,12002695.281042248
119,andaman-&-nicobar-islands,2020,4,744201.0,5011,6777275.536669218
120,andaman-&-nicobar-islands,2021,1,744101.0,55726,190830957.0606181
121,andaman-&-nicobar-islands,2021,1,744103.0,47328,158404100.7854989
122,andaman-&-nicobar-islands,2021,1,744105.0,35467,111571687.43195169
123,andaman-&-nicobar-islands,2021,1,744102.0,23957,80750048.8238959
124,andaman-&-nicobar-islands,2021,1,744211.0,10648,34956327.94105429
125,andaman-&-nicobar-islands,2021,1,744202.0,10597,28127629.877961583
126,andaman-&-nicobar-islands,2021,1,744107.0,8848,19627951.46996916
127,andaman-&-nicobar-islands,2021,1,744104.0,8799,27854306.51949638
128,andaman-&-nicobar-islands,2021,1,744112.0,7113,21084790.0528014
129,andaman-&-nicobar-islands,2021,1,744301.0,5630,22671937.31314759
130,andaman-&-nicobar-islands,2021,2,744101.0,73334,227585492.7414593
131,andaman-&-nicobar-islands,2021,2,744103.0,66321,174752815.1688521
132,andaman-&-nicobar-islands,2021,2,744105.0,52645,134835744.22049245
133,andaman-&-nicobar-islands,2021,2,744102.0,34289,100890426.76234056
134,andaman-&-nicobar-islands,2021,2,744202.0,16476,40647907.96960775
135,andaman-&-nicobar-islands,2021,2,744107.0,14524,24690581.539094776
136,andaman-&-nicobar-islands,2021,2,744104.0,11278,28333852.06159348
137,andaman-&-nicobar-islands,2021,2,744211.0,10182,20377949.346094526
138,andaman-&-nicobar-islands,2021,2,744112.0,9635,21637658.167199604
139,andaman-&-nicobar-islands,2021,2,744301.0,8463,27666837.39688266
140,andaman-&-nicobar-islands,2021,3,744101.0,116324,388328168.7639693
141,andaman-&-nicobar-islands,2021,3,744103.0,84790,246433385.80990067
142,andaman-&-nicobar-islands,2021,3,744105.0,67257,185238368.4767078
143,andaman-&-nicobar-islands,2021,3,744102.0,43850,131239564.16909727
144,andaman-&-nicobar-islands,2021,3,744202.0,19088,48475163.57429314
145,andaman-&-nicobar-islands,2021,3,744107.0,16203,37962312.09641009
146,andaman-&-nicobar-islands,2021,3,744104.0,14657,35301326.114471875
147,andaman-&-nicobar-islands,2021,3,744112.0,11565,28491553.61094001
148,andaman-&-nicobar-islands,2021,3,744301.0,11553,43464511.051198
149,andaman-&-nicobar-islands,2021,3,744211.0,9655,19497765.25714052
150,andaman-&-nicobar-islands,2021,4,744101.0,165719,533026207.9731797
151,andaman-&-nicobar-islands,2021,4,744103.0,121613,372243734.27985656
152,andaman-&-nicobar-islands,2021,4,744105.0,95028,281223411.7435058
153,andaman-&-nicobar-islands,2021,4,744102.0,58258,174623253.47653326
154,andaman-&-nicobar-islands,2021,4,744211.0,27938,94222862.10725296
155,andaman-&-nicobar-islands,2021,4,744104.0,25662,69245386.0816525
156,andaman-&-nicobar-islands,2021,4,744202.0,21913,67790798.04849821
157,andaman-&-nicobar-islands,2021,4,744107.0,21397,52036029.9980372
158,andaman-&-nicobar-islands,2021,4,744112.0,18915,55448543.43365714
159,andaman-&-nicobar-islands,2021,4,744301.0,14553,47792330.70050094
160,andaman-&-nicobar-islands,2022,1,744101.0,209941,615978080.6944855
161,andaman-&-nicobar-islands,2022,1,744103.0,157230,399715980.1391735
162,andaman-&-nicobar-islands,2022,1,744105.0,122716,321850608.7396423
163,andaman-&-nicobar-islands,2022,1,744102.0,74883,193336549.94178736
164,andaman-&-nicobar-islands,2022,1,744104.0,32471,72915521.83614868
165,andaman-&-nicobar-islands,2022,1,744211.0,30272,86955570.58655271
166,andaman-&-nicobar-islands,2022,1,744107.0,25379,58776727.62636636
167,andaman-&-nicobar-islands,2022,1,744202.0,24022,68519268.77643085
168,andaman-&-nicobar-islands,2022,1,744112.0,23471,55469783.6622991
169,andaman-&-nicobar-islands,2022,1,744301.0,17630,56879992.28461884
170,andaman-&-nicobar-islands,2022,2,744101.0,252722,702122365.3629664
171,andaman-&-nicobar-islands,2022,2,744103.0,230746,561168775.5622396
172,andaman-&-nicobar-islands,2022,2,744105.0,176252,415796516.6034926
173,andaman-&-nicobar-islands,2022,2,744102.0,101551,240451609.192299
174,andaman-&-nicobar-islands,2022,2,744104.0,47069,94335358.34017952
175,andaman-&-nicobar-islands,2022,2,744211.0,40245,108788594.62847154
176,andaman-&-nicobar-islands,2022,2,744107.0,36402,82851064.58195859
177,andaman-&-nicobar-islands,2022,2,744112.0,32548,70178309.12885833
178,andaman-&-nicobar-islands,2022,2,744202.0,27750,84587978.8405464
179,andaman-&-nicobar-islands,2022,2,744301.0,26170,74485462.68044695
180,andaman-&-nicobar-islands,2022,3,744104.0,497273,951370315.4090765
181,andaman-&-nicobar-islands,2022,3,744103.0,259994,545653686.3062732
182,andaman-&-nicobar-islands,2022,3,744101.0,213864,444967255.802143
183,andaman-&-nicobar-islands,2022,3,744105.0,208055,438754611.5375265
184,andaman-&-nicobar-islands,2022,3,744102.0,114416,239581586.790242
185,andaman-&-nicobar-islands,2022,3,744107.0,40466,85492008.49477127
186,andaman-&-nicobar-islands,2022,3,744112.0,38350,74030563.48358011
187,andaman-&-nicobar-islands,2022,3,744211.0,37918,89671382.06901146
188,andaman-&-nicobar-islands,2022,3,744202.0,29918,85509005.84576747
189,andaman-&-nicobar-islands,2022,3,744301.0,27668,70002553.35288173
190,andaman-&-nicobar-islands,2022,4,744104.0,684366,1309407988.2902
191,andaman-&-nicobar-islands,2022,4,744103.0,304600,612929267.1773143
192,andaman-&-nicobar-islands,2022,4,744105.0,258097,505662756.1128938
193,andaman-&-nicobar-islands,2022,4,744101.0,243494,467192496.1739121
194,andaman-&-nicobar-islands,2022,4,744102.0,134923,264371699.7390405
195,andaman-&-nicobar-islands,2022,4,744211.0,56491,137253267.66612908
196,andaman-&-nicobar-islands,2022,4,744107.0,54192,104539818.47127225
197,andaman-&-nicobar-islands,2022,4,744112.0,46364,82461782.47749998
198,andaman-&-nicobar-islands,2022,4,744202.0,34689,94217164.85909572
199,andaman-&-nicobar-islands,2022,4,744301.0,33669,82466591.07632071
200,andhra-pradesh,2018,1,517501.0,110496,163487278.84449506
201,andhra-pradesh,2018,1,520001.0,96883,170605900.5466873
202,andhra-pradesh,2018,1,515001.0,92754,133522310.75704184
203,andhra-pradesh,2018,1,517507.0,88132,127450018.2101582
204,andhra-pradesh,2018,1,516001.0,84644,131194265.5243713
205,andhra-pradesh,2018,1,518502.0,82421,68040306.13881023
206,andhra-pradesh,2018,1,530016.0,81891,140880970.0990568
207,andhra-pradesh,2018,1,520010.0,69581,119009921.97401813
208,andhra-pradesh,2018,1,516360.0,68340,101612118.88480642
209,andhra-pradesh,2018,1,518501.0,68193,81006512.71677604
210,andhra-pradesh,2018,2,517501.0,165506,305629373.1586336
211,andhra-pradesh,2018,2,518502.0,140893,127814123.87394844
212,andhra-pradesh,2018,2,515001.0,129798,285924993.6163615
213,andhra-pradesh,2018,2,517507.0,127731,243405277.904814
214,andhra-pradesh,2018,2,520001.0,123176,271911611.0495833
215,andhra-pradesh,2018,2,516001.0,114806,242175477.6115077
216,andhra-pradesh,2018,2,530016.0,111874,235770318.03054443
217,andhra-pradesh,2018,2,520010.0,100630,220730389.6490364
218,andhra-pradesh,2018,2,516360.0,96619,197068813.6044728
219,andhra-pradesh,2018,2,518501.0,93442,163942778.22947574
220,andhra-pradesh,2018,3,518502.0,1300146,709765829.9649723
221,andhra-pradesh,2018,3,533437.0,421968,240766495.0585349
222,andhra-pradesh,2018,3,518501.0,296154,291247918.8462258
223,andhra-pradesh,2018,3,517501.0,295403,466133618.6014985
224,andhra-pradesh,2018,3,515001.0,276595,438158383.2247275
225,andhra-pradesh,2018,3,530016.0,234494,380410223.1952695
226,andhra-pradesh,2018,3,517507.0,233347,386563858.6898683
227,andhra-pradesh,2018,3,516259.0,220165,109844218.671292
228,andhra-pradesh,2018,3,520011.0,213275,291805923.0011128
229,andhra-pradesh,2018,3,520001.0,206435,371140000.3074023
230,andhra-pradesh,2018,4,518502.0,441662,332201263.2829269
231,andhra-pradesh,2018,4,517501.0,423357,714887920.0334857
232,andhra-pradesh,2018,4,530016.0,367619,575982481.3389585
233,andhra-pradesh,2018,4,515001.0,355695,651952970.9302757
234,andhra-pradesh,2018,4,517507.0,318300,594747982.0458119
235,andhra-pradesh,2018,4,530003.0,277131,356075793.8585544
236,andhra-pradesh,2018,4,516001.0,269798,572252390.1920383
237,andhra-pradesh,2018,4,520010.0,250261,492229977.1570112
238,andhra-pradesh,2018,4,530017.0,248725,326891428.60271376
239,andhra-pradesh,2018,4,518501.0,248520,357423401.5571966
240,andhra-pradesh,2019,1,530001.0,950821,1529039457.6419592
241,andhra-pradesh,2019,1,517501.0,922416,1244725311.4573965
242,andhra-pradesh,2019,1,520001.0,814616,1462807205.627422
243,andhra-pradesh,2019,1,530016.0,684611,960022481.5524915
244,andhra-pradesh,2019,1,517507.0,671661,1009128524.8128468
245,andhra-pradesh,2019,1,515001.0,609682,1009938283.8464416
246,andhra-pradesh,2019,1,518502.0,545426,389782596.9665674
247,andhra-pradesh,2019,1,530003.0,527667,590799502.8850918
248,andhra-pradesh,2019,1,530017.0,472914,531596255.9349663
249,andhra-pradesh,2019,1,520010.0,460133,774931063.0289192
250,andhra-pradesh,2019,2,530001.0,2602865,5218795715.70141
